N,Bubble,Quick,Insert
291,0.293000,0.025000,0.079000
292,0.330000,0.025000,0.080000
293,0.312000,0.026000,0.080000
294,0.298000,0.030000,0.082000
295,0.330000,0.026000,0.080000
296,0.303000,0.026000,0.084000
297,0.306000,0.026000,0.080000
298,0.312000,0.026000,0.084000
299,0.310000,0.026000,0.080000
300,0.303000,0.026000,0.083000
301,0.344000,0.025000,0.085000
302,0.326000,0.026000,0.083000
303,0.310000,0.027000,0.081000
304,0.320000,0.026000,0.082000
305,0.317000,0.027000,0.082000
306,0.386000,0.039000,0.089000
307,0.342000,0.030000,0.099000
308,0.347000,0.029000,0.089000
309,0.361000,0.031000,0.100000
310,0.363000,0.030000,0.106000
311,0.372000,0.032000,0.167000
312,0.471000,0.031000,0.117000
313,0.356000,0.032000,0.107000
314,0.378000,0.032000,0.108000
315,0.494000,0.040000,0.168000
316,0.462000,0.033000,0.123000
317,0.546000,0.036000,0.142000
318,0.385000,0.032000,0.108000
319,0.372000,0.033000,0.102000
320,0.375000,0.032000,0.110000
321,0.380000,0.032000,0.104000
322,0.384000,0.032000,0.110000
323,0.384000,0.033000,0.124000
324,0.382000,0.033000,0.108000
325,0.381000,0.032000,0.105000
326,0.363000,0.030000,0.102000
327,0.368000,0.032000,0.106000
328,0.362000,0.029000,0.100000
329,0.386000,0.029000,0.098000
330,0.361000,0.029000,0.095000
331,0.393000,0.030000,0.101000
332,0.367000,0.029000,0.104000
333,0.372000,0.029000,0.101000
334,0.395000,0.029000,0.102000
335,0.374000,0.030000,0.131000
336,0.492000,0.034000,0.129000
337,0.416000,0.034000,0.120000
338,0.438000,0.030000,0.107000
339,0.391000,0.031000,0.106000
340,0.389000,0.030000,0.104000
341,0.395000,0.029000,0.108000
342,0.398000,0.031000,0.107000
343,0.428000,0.030000,0.114000
344,0.392000,0.031000,0.107000
345,0.416000,0.031000,0.106000
346,0.390000,0.031000,0.115000
347,0.392000,0.031000,0.112000
348,0.400000,0.030000,0.118000
349,0.406000,0.030000,0.113000
350,0.411000,0.032000,0.114000
351,0.406000,0.031000,0.117000
352,0.426000,0.031000,0.113000
353,0.429000,0.031000,0.112000
354,0.415000,0.032000,0.121000
355,0.424000,0.031000,0.118000
356,0.422000,0.032000,0.118000
357,0.422000,0.032000,0.116000
358,0.419000,0.032000,0.154000
359,0.441000,0.032000,0.115000
360,0.432000,0.032000,0.130000
361,0.427000,0.033000,0.120000
362,0.438000,0.032000,0.120000
363,0.435000,0.032000,0.116000
364,0.530000,0.037000,0.134000
365,0.484000,0.037000,0.136000
366,0.528000,0.041000,0.198000
367,0.621000,0.040000,0.200000
368,0.658000,0.040000,0.189000
369,0.656000,0.038000,0.240000
370,0.692000,0.038000,0.140000
371,0.495000,0.038000,0.147000
372,0.563000,0.050000,0.133000
373,0.467000,0.034000,0.129000
374,0.470000,0.033000,0.128000
375,0.474000,0.033000,0.131000
376,0.480000,0.033000,0.133000
377,0.474000,0.035000,0.133000
378,0.492000,0.035000,0.130000
379,0.472000,0.034000,0.136000
380,0.481000,0.033000,0.167000
381,0.478000,0.034000,0.134000
382,0.551000,0.038000,0.142000
383,0.539000,0.038000,0.159000
384,0.536000,0.039000,0.149000
385,0.520000,0.040000,0.152000
386,0.567000,0.040000,0.159000
387,0.539000,0.045000,0.167000
388,0.514000,0.035000,0.136000
389,0.506000,0.036000,0.138000
390,0.501000,0.036000,0.139000
391,0.503000,0.052000,0.139000
392,0.497000,0.035000,0.138000
393,0.509000,0.036000,0.140000
394,0.536000,0.037000,0.143000
395,0.527000,0.046000,0.142000
396,0.509000,0.036000,0.146000
397,0.534000,0.036000,0.150000
398,0.524000,0.036000,0.139000
399,0.511000,0.036000,0.152000
400,0.535000,0.036000,0.143000
401,0.538000,0.049000,0.147000
402,0.534000,0.037000,0.145000
403,0.536000,0.037000,0.153000
404,0.525000,0.037000,0.156000
405,0.534000,0.035000,0.153000
406,0.546000,0.037000,0.148000
407,0.546000,0.037000,0.155000
408,0.612000,0.042000,0.175000
409,0.624000,0.044000,0.248000
410,0.699000,0.044000,0.185000
411,0.614000,0.043000,0.180000
412,0.852000,0.044000,0.235000
413,0.868000,0.038000,0.151000
414,0.546000,0.039000,0.159000
415,0.561000,0.038000,0.156000
416,0.619000,0.038000,0.161000
417,0.591000,0.038000,0.156000
418,0.574000,0.038000,0.158000
419,0.576000,0.037000,0.163000
420,0.612000,0.039000,0.148000
421,0.602000,0.039000,0.159000
422,0.577000,0.039000,0.162000
423,0.585000,0.039000,0.156000
424,0.588000,0.038000,0.170000
425,0.592000,0.038000,0.157000
426,0.594000,0.039000,0.173000
427,0.620000,0.045000,0.205000
428,0.696000,0.043000,0.221000
429,0.590000,0.040000,0.167000
430,0.641000,0.040000,0.173000
431,0.604000,0.039000,0.174000
432,0.711000,0.045000,0.210000
433,0.663000,0.045000,0.193000
434,0.675000,0.045000,0.204000
435,0.660000,0.044000,0.199000
436,0.682000,0.053000,0.174000
437,0.622000,0.040000,0.187000
438,0.630000,0.040000,0.174000
439,0.639000,0.041000,0.164000
440,0.627000,0.041000,0.178000
441,0.627000,0.041000,0.183000
442,0.664000,0.041000,0.171000
443,0.658000,0.041000,0.190000
444,0.637000,0.042000,0.179000
445,0.704000,0.047000,0.226000
446,0.816000,0.048000,0.265000
447,0.707000,0.062000,0.201000
448,0.904000,0.049000,0.293000
449,0.963000,0.043000,0.179000
450,0.651000,0.044000,0.182000
451,0.733000,0.043000,0.184000
452,0.677000,0.043000,0.230000
453,0.661000,0.042000,0.197000
454,0.669000,0.043000,0.189000
455,0.723000,0.045000,0.188000
456,0.662000,0.043000,0.188000
457,0.673000,0.041000,0.190000
458,0.691000,0.041000,0.189000
459,0.692000,0.042000,0.195000
460,0.670000,0.043000,0.182000
461,0.687000,0.043000,0.194000
462,0.807000,0.048000,0.224000
463,0.802000,0.042000,0.198000
464,0.698000,0.043000,0.204000
465,0.733000,0.044000,0.189000
466,0.712000,0.043000,0.196000
467,0.731000,0.044000,0.200000
468,0.714000,0.044000,0.211000
469,0.720000,0.044000,0.199000
470,0.709000,0.044000,0.200000
471,0.730000,0.043000,0.201000
472,0.708000,0.044000,0.195000
473,0.801000,0.049000,0.229000
474,0.802000,0.050000,0.229000
475,0.796000,0.050000,0.231000
476,0.792000,0.050000,0.226000
477,0.809000,0.050000,0.235000
478,1.078000,0.067000,0.353000
479,1.052000,0.058000,0.317000
480,1.016000,0.056000,0.232000
481,0.881000,0.055000,0.274000
482,0.777000,0.047000,0.218000
483,0.774000,0.046000,0.215000
484,0.745000,0.045000,0.219000
485,0.866000,0.046000,0.212000
486,0.793000,0.045000,0.210000
487,0.769000,0.045000,0.212000
488,0.762000,0.045000,0.254000
489,0.770000,0.046000,0.223000
490,0.794000,0.045000,0.210000
491,0.773000,0.045000,0.219000
492,0.838000,0.045000,0.220000
493,0.792000,0.045000,0.217000
494,0.775000,0.048000,0.211000
495,0.788000,0.047000,0.216000
496,0.811000,0.047000,0.218000
497,0.785000,0.046000,0.220000
498,0.789000,0.047000,0.226000
499,0.794000,0.046000,0.286000
500,0.892000,0.054000,0.253000
501,0.884000,0.053000,0.264000
502,1.214000,0.057000,0.263000
503,1.149000,0.047000,0.222000
504,0.903000,0.052000,0.282000
505,1.183000,0.058000,0.361000
506,1.014000,0.056000,0.283000
507,0.940000,0.055000,0.249000
508,0.902000,0.049000,0.225000
509,0.906000,0.047000,0.243000
510,0.839000,0.069000,0.268000
511,0.908000,0.055000,0.266000
512,0.938000,0.054000,0.264000
513,0.919000,0.053000,0.277000
514,0.927000,0.055000,0.262000
515,0.866000,0.048000,0.245000
516,0.844000,0.049000,0.262000
517,0.852000,0.049000,0.249000
518,0.879000,0.049000,0.239000
519,0.999000,0.055000,0.302000
520,0.930000,0.057000,0.264000
521,0.928000,0.049000,0.247000
522,0.880000,0.050000,0.254000
523,0.898000,0.050000,0.254000
